MLS No,Latitude,Longitude
CRPW24141093,33.7606472,-118.0837135
CRPW24102093,33.7669705,-118.0861834
CRPW23113156,33.7699517,-118.0859355
CRPW24050153,33.7703569,-118.0829328
CRPW23147436,33.7700573,-118.0903306
CRPW23152053,33.7707405,-118.092886
CRPW24063872,33.7642064,-118.0879301
CRPW24012208,33.7730278,-118.0821033
CRPW23217121,33.7714304,-118.0804129
CRPW23225708,33.7634357,-118.0786342
CRPW23192082,33.7658692,-118.08562
CROC22258000,33.7625371,-118.0846052
CRPW23188898,33.7608779,-118.0900395
CRPW24061253,33.7684204,-118.0925823
CRPW23188646,33.7657187,-118.0873565
CRPW23092464,33.7646238,-118.0864476
CROC24048563,33.6138057,-117.744183
CROC23214691,33.6194656,-117.7218319
CROC24076415,33.6138057,-117.744183
CROC23193512,33.6172814,-117.7219215
CROC23169565,33.6144125,-117.7220212
CROC24063440,33.6132008,-117.7442604
CRRS24040238,33.6172814,-117.7219215
ML81955008,37.7775,-122.1792966
ME223051099,38.556302,-121.3607916
CRP1-16448,33.9847739,-118.33939
41062324,37.7627756,-122.1674078
CL22222033,34.1106352,-118.3865621
CL24355543,34.0294558,-118.433275
CREV24013213,33.9965011,-118.3157528
ME222125905,38.5580612,-121.3613797
CROC23038515,33.967746,-118.4096716
ME223112680,38.5596617,-121.3607694
CRDW23120210,33.9353924,-118.2361087
41023047,37.8115214,-122.2367168
CRDW23097063,33.9576448,-118.2557999
BA324005458,37.7627756,-122.1674078
CL23317401,34.1139446,-118.1885041
ME224003392,38.5570236,-121.3604706
CRDW24045871,34.0077117,-118.2605534
41024124,37.806048,-122.2113511
CRCV24094015,33.9401322,-118.284986
ME223056232,38.5574045,-121.360639
ME224026711,38.5578661,-121.3588561
CRNP23153336,33.6138057,-117.744183
CRPW24057504,33.9636004,-118.2600183
CRIV23082083,33.9500074,-118.2639684
CRSW22254019,33.9870129,-118.2812671
CRDW24025087,33.9981309,-118.4675853
ME224023420,38.5596617,-121.3607694
CREV23163456,34.2112886,-117.0826577
CRRS23198739,33.9500074,-118.2639684
ME224031979,38.5567891,-121.359778
CL24385665,34.1139446,-118.1885041
CROC24052081,33.9720818,-118.3100101
CL24362331,34.028789,-118.3314121
CRRW23156551,34.1097507,-118.3863018
CRRS23088123,34.0805286,-118.321065
CL23327949,33.9720818,-118.3100101
CRDW24127625,33.9453776,-118.2487003
CL24393257,33.97073170000001,-118.4011317
CL24348005,33.9453776,-118.2487003
CL23235967,34.1192921,-118.197469
CL24374607,33.9897242,-118.3352699
SF424014159,37.7836959,-122.4267324
SF424035876,37.7836959,-122.4267324
SF424041167,37.7836959,-122.4267324
SF423920853,37.7836959,-122.4267324
CRDW24107957,34.0998313,-118.2818358
CRPW24115204,34.0541406,-118.1914083
SF422710633,37.7720189,-122.3935591
CL23305907,34.0677495,-118.3426011
CRCV24016809,34.0858325,-118.2853028
SF423919769,37.8044502,-122.4041782
CRDW23190906,33.957071,-118.2999416
CRSB23144786,33.95500670000001,-118.4202767
CRDW24145168,33.9710462,-118.2436922
CL23329145,34.0972519,-118.3448821
CRDW23112281,33.9778222,-118.2437618
CROC23118848,33.9211376,-118.2548072
CL24383499,34.1173663,-118.3396365
SF424051334,37.8034687,-122.4040783
CRPF23138465,34.0998313,-118.2818358
SF423913092,37.7953583,-122.4212641
CL23327767,34.0567005,-118.4117686
SF424012190,37.7953583,-122.4212641
CRSR23191133,34.0567005,-118.4117686
CL23319141,34.1123259,-118.3349072
SF424021224,37.7953583,-122.4212641
SF424008535,37.7862367,-122.3890662
CL23271263,34.0567005,-118.4117686
CL23237557,34.1173663,-118.3396365
SF423746896,37.8009605,-122.4224474
CRSR22226192,34.0061975,-118.3468849
CRPW24098550,34.0567005,-118.4117686
SF422703736,37.7614764,-122.3892934
CL24369309,34.0567005,-118.4117686
CL24355291,34.0567005,-118.4117686
CL23248005,34.0567005,-118.4117686
CL23308901,34.0567005,-118.4117686
SF424001889,37.7953583,-122.4212641
CL23252625,34.0567005,-118.4117686
CL23329439,34.107856,-118.3316658
CRPW22224664,33.9408197,-118.258407
CL23252827,34.0567005,-118.4117686
CL24383137,34.0520601,-118.3565809
CRIV22246393,34.00674619999999,-118.4222949
CRSB24035941,33.9609982,-118.4070074
SF423921370,37.6996995,-122.4878726
CRP1-18639,34.12331959999999,-118.1700622
ML81968522,37.7020616,-122.4936976
ML81961395,37.7044,-122.4503715
CL23250989,34.047168,-118.3808732
41052855,37.5815977,-122.0727754
CL22131521,33.9171674,-118.2945667
ML81955386,37.7054964,-122.4752282
CRGD24070275,34.1254476,-118.1719892
41035698,37.5791986,-122.072589
41049933,37.5798683,-122.0730252
41019352,37.5781851,-122.0733166
41035843,37.5934155,-122.0301594
CRDW24092898,37.581216,-122.0735436
41056168,37.5755892,-122.0743576
41020945,37.5926178,-122.0329905
CL23319653,33.985925,-118.3523614
41048897,37.5783986,-122.0750935
SF423905855,37.701967,-122.4945765
ML81930468,37.3283,-121.9280024
CL23334523,34.0266998,-118.3170807
ML81954469,37.3784368,-121.8635369
ML81966100,37.37616860000001,-121.8739153
41022380,37.9205767,-122.0933924
41034516,37.920499,-122.095883
ML81946830,37.3774737,-121.8708041
41021386,37.921019,-122.094392
41007342,37.919878,-122.094738
41047332,37.9202511,-122.0945626
41063613,37.9218,-122.093807
ML81954213,37.3322424,-121.8047055
ML81957943,37.2594133,-121.8469977
41032613,37.2612192,-121.8501344
ML81965064,37.3019123,-121.9618381
ML81961697,37.2641346,-121.8519297
ML81947510,37.3380838,-121.8742058
41030981,37.9206529,-122.0934806
ML81946656,37.2587858,-121.8497818
41038752,37.9201333,-122.0912785
ML81942987,37.2644009,-121.8516538
ME223000477,37.9211712,-122.096049
CL23235151,33.9568053,-118.2732982
CRIG24115072,33.942864,-118.2842365
CRSB23001609,33.942864,-118.2842365
CRSR23022957,33.970574,-118.3049482
CL23316923,34.0562368,-118.170985
CRDW23176288,33.9568053,-118.2732982
CL23288803,34.0460967,-118.1731028
CL23287677,34.0826291,-118.1646247
CL22219099,33.9952803,-118.2921793
CRDW24066317,33.9571458,-118.2896008
CRPW23036420,33.9882476,-118.3469605
CRDW23210379,33.9326219,-118.2587624
CRDW23214480,33.9558328,-118.2551683
CL23317423,34.1157278,-118.1855163
CRNP23063078,33.9552413,-118.2387738
CRCV22231365,33.9409449,-118.2883804
CRCV22212393,34.093696,-118.2872964
CRDW23195873,33.9552413,-118.2387738
CRPW23025210,33.9166974,-118.2682502
CL23278871,34.0797531,-118.3634753
CL22224507,33.9789512,-118.3030776
CRPW23036840,34.0778078,-118.3009453
CRDW23086348,33.9285603,-118.2666103
CRCV23062356,33.9285603,-118.2666103
CRPW23080199,33.9796578,-118.3140967
CRDW23196642,33.979629,-118.3017413
CRSB23102459,33.979629,-118.3017413
CL23294969,34.0487675,-118.4741137
CL23307799,34.0816622,-118.2581127
CREV24057977,36.778261,-119.4179324
CL23326793,33.9749384,-118.4228856
CL22207055,34.0420504,-118.3613839
CRPW23110584,34.0829591,-118.1819615
CRDW22235366,34.0195732,-118.3297869
CL23241177,34.0960126,-118.3394551
CL23330183,33.972645,-118.4268408
CL22219621,34.04202,-118.36149
CL22218897,34.0487675,-118.4741137
CL23331651,34.0960126,-118.3394551
CL24403985,34.1225585,-118.3452931
CL24389507,34.0797523,-118.1907686
CRDW23089000,34.0714476,-118.2105403
SF423757797,37.765351,-122.399134
SF423757796,37.765351,-122.399134
CRP1-15570,34.2003397,-118.5051342
CRSR23127546,34.2003397,-118.5051342
SF423758258,37.772985,-122.396263
CRSR23218772,34.205319,-118.4965802
CREV23177760,36.778261,-119.4179324
SF424007647,37.7462036,-122.4399262
CL24399960,34.1150031,-118.1852557
CL23286515,34.091094,-118.1832832
CRDW23185762,33.9684183,-118.3291489
CL24393879,34.016781,-118.1355735
CL24416499,34.0796034,-118.3281363
CRPV23195139,33.942768,-118.2617762
CRSR22227512,34.0485427,-118.4245807
CL23314639,34.1139453,-118.2145022
CRSR24045377,33.9435132,-118.2585323
CL23317071,33.9360283,-118.2470899
CL22205139,34.0924253,-118.1681641
CRGD23227543,34.1132373,-118.2631011
CREV23036929,33.9394852,-118.3120691
CRNDP2406097,34.0425621,-118.4316844
CRRS23054857,33.9250623,-118.2698247
CL23233477,34.0261669,-118.4461506
CL23333885,34.0196088,-118.3043033
SF423751909,37.7427399,-122.4369647
SF424020940,37.7903477,-122.4125675
SF423920389,37.7739297,-122.3962408
CRSR23102697,34.0170641,-118.3258715
SF423740405,37.7579643,-122.3945569
SF424007736,37.7559364,-122.419286
SF424009979,37.742988,-122.4372328
CRSB24145856,33.9208011,-118.2548094
SF424033513,37.73184,-122.4439884
SF422683265,37.778982,-122.391752
SF424003945,37.7875406,-122.3905331
SF424038432,37.73184,-122.4439884
CL23308633,34.0413922,-118.3630927
CRRS23074413,33.7603469,-118.1442437
CRBB24140074,34.0929044,-118.2550828
CRSB23227919,33.9109391,-118.2673563
CRSB23027615,34.0992443,-118.2459411
CRDW24130243,33.9375752,-118.2319872
CL23279313,34.0398797,-118.3899811
CRSB23181340,34.0268838,-118.437947
CRDW23071457,33.959206,-118.2479096
CL22217191,33.9730182,-118.4217366
CRCV23206250,34.1287135,-118.1834745
CRPF23123475,34.1161785,-118.2197537
CL23278129,33.9725454,-118.4229038
CRTR23202239,33.9724825,-118.2543577
CRTR23155054,33.9817763,-118.2494605
CL23284413,34.0279078,-118.3712313
CRSB22235901,34.1161785,-118.2197537
CL23279713,33.9721088,-118.4239539
CRSR24096678,34.1916186,-118.4932208
CRDW24123442,33.9484823,-118.2749894
CL24417231,34.0577882,-118.3373584
CRBB22222537,34.1984842,-118.4940809
CRPW23067501,33.9285156,-118.2596288
CL24378999,34.0376999,-118.418519
CL24376087,34.1267137,-118.1920992
CL23278947,34.0029046,-118.4469008
CL23304787,34.0448629,-118.2426594
CL23228353,34.0036346,-118.3558269
CRLG24083452,34.1425385,-118.2198829
CL23262107,34.0048323,-118.3100717
CL23255143,34.0812593,-118.3176787
CL23244045,34.037065,-118.1974472
CL23312245,33.9371322,-118.3106972
CRSB24069275,33.9394044,-118.2851119
CL24386161,33.9845847,-118.3464916
CRDW24066053,33.9556048,-118.2998041
CL22208939,34.0812593,-118.3176787
CL22220803,34.1316573,-118.1925609
CL23245099,34.0267041,-118.4176162
CRGD23209476,33.9775958,-118.3095847
CL23229615,34.1065988,-118.3833493
CL23268419,34.1063899,-118.1799226
CL24395249,34.0539997,-118.4053041
CRIN22249804,33.9512227,-118.3899703
ML81918278,37.2801288,-121.9843542
ML81935188,37.2797561,-121.9872474
ML81914492,37.2814342,-121.9852819
41022764,37.2791292,-121.9853004
CL24377697,34.081669,-118.353528
41048980,37.3372413,-121.8597322
CL23288661,34.1191946,-118.266785
CRGD24043870,33.9876233,-118.3460779
CRDW24155624,34.0022418,-118.3152536
ML81963778,37.2538686,-121.8551269
CL23267801,34.0594841,-118.3055669
ML81923442,37.2535331,-121.8562636
CL23275591,34.0712625,-118.3714314
ML81934063,37.25184,-121.8545049
CRGD24126097,33.9876233,-118.3460779
CRBB22256084,34.0774475,-118.373473
CL23235715,33.9321908,-118.2856791
CL23262089,34.0702724,-118.3743001
CRSW24078743,33.9828082,-118.3679032
ML81953662,37.2812416,-121.9909029
ML81915324,37.3356123,-121.860675
CRBB23179719,34.2073773,-118.5131102
CRSR23215946,33.9732014,-118.2686833
CRSR23138583,33.9646081,-118.29488
CRSR24107410,34.0639666,-118.4298826
CL24366199,34.0513994,-118.4797811
CL23288547,34.0578953,-118.4347033
CROC24069049,33.6138057,-117.744183
CL23230691,33.95248309999999,-118.313752
CL24396937,34.0019894,-118.4398304
CROC24040584,33.6132008,-117.7442604
CROC22253935,33.6138057,-117.744183
CROC23102648,33.6132008,-117.7442604
CROC23106958,33.6138057,-117.744183
CROC22215936,33.6132008,-117.7442604
CROC24109201,33.6132008,-117.7442604
CROC24121920,33.6138057,-117.744183
CROC23192441,33.6132008,-117.7442604
CROC23185855,33.6132008,-117.7442604
CROC22254126,33.6138057,-117.744183
CROC23104288,33.6132008,-117.7442604
CROC24117704,33.6138057,-117.744183
CROC23173685,33.6138057,-117.744183
CROC24095493,33.6138057,-117.744183
CROC24043107,33.6138057,-117.744183
CROC22238527,33.6138057,-117.744183
CROC24010880,33.6132008,-117.7442604
CRCV22162385,34.4239321,-117.5152291
CRWS22259609,34.41792179999999,-117.5124278
CROC24074593,33.6132008,-117.7442604
CROC23145552,33.6138057,-117.744183
CROC22257265,33.6138057,-117.744183
CRIV23152216,34.4144807,-117.5091134
CRHD22155739,34.4423507,-117.5150488
CRHD23113116,34.5096615,-117.5362795
CROC22242547,33.6132008,-117.7442604
CROC23223578,33.6138057,-117.744183
CRHD23166338,34.5088758,-117.5348215
CRIV23139328,34.4088687,-117.5105304
CRIG23109383,34.471023,-117.507496
CROC23002934,33.6132008,-117.7442604
ME223100794,38.5188424,-121.5028233
41019803,38.5302425,-121.4785495
ME223005019,38.5297734,-121.4850489
ME223084259,38.5182035,-121.5006781
ME224008113,38.5188424,-121.5028233
CL23237655,33.9487053,-118.2666679
CL24389897,34.1132094,-118.2011153
CRRS23225376,33.9552632,-118.2399086
CRCV24024832,34.0949203,-118.2140487
CL24412545,33.97535939999999,-118.2818708
CRCV23003944,33.9392814,-118.2610437
SF423733942,37.7988065,-122.4048271
SF422648864,37.7735276,-122.3967468
SF423900251,37.7752927,-122.4131926
SF422694288,37.7735276,-122.3967468
SF423900255,37.7628217,-122.437239
CRPW23004223,33.8484304,-117.7916447
CRPW23012370,33.8706764,-117.7918034
CL23341349,34.0252703,-118.1435104
CRTR22259663,33.9688551,-118.3290238
CRPW24133594,33.8477414,-117.7908249
CL23267281,34.1008807,-118.3570038
CRSB23180738,33.95446400000001,-118.2706729
CRPW24163132,33.8487869,-117.7915482
CRSR23106625,33.8480587,-117.7908156
CROC23149465,33.8706764,-117.7918034
CRPW22257286,33.84879600000001,-117.791654
CRPW22225334,33.8734845,-117.7927486
CROC24030879,33.8732344,-117.7744321
CL22223245,33.9379042,-118.2303106
CRPW23183130,33.8740144,-117.7980964
CRDW23031686,34.0799739,-118.2658912
CRIG22229097,33.9441493,-118.2671359
CRCV23163640,33.9688551,-118.3290238
CRSR23010917,34.03991990000001,-118.4340701
CRSR22227528,33.9537243,-118.2520456
CRDW23208554,33.9765776,-118.25188
CRPW22258696,33.8706764,-117.7918034
CRDW23176999,33.9379042,-118.2303106
CRTR22258928,34.0933087,-118.2109557
CRCV23179486,34.2608392,-118.3668063
CL23304459,33.9886273,-118.3575963
CRSB22183998,34.0333222,-118.3419894
SF423715381,37.7350549,-122.3874424
SF424035906,37.8041865,-122.4223294
SF423723718,37.7212286,-122.4687313
CRCV22180495,33.9307817,-118.2767731
ML81926916,37.75493030000001,-122.4485175
SF423754726,37.7113524,-122.4680641
CL23328757,34.0256385,-118.4499404
SF423900358,37.7598724,-122.4340625
CRDW23107341,33.9955613,-118.3163099
SF423724043,37.7300897,-122.4473519
CRDW23137669,33.9990912,-118.2502587
CL24388637,34.0822363,-118.2683769
CROC23041891,33.9585566,-118.2591745
CRSB22252694,33.9955613,-118.3163099
CRSR23030044,34.2067225,-118.4992257
CL23233577,34.0315605,-118.3463792
CL23304933,34.0874167,-118.1667917
CRDW23015403,34.0850838,-118.1803084
CRDW24087964,33.9361848,-118.3048839
CRSB23193113,33.9316968,-118.2338434
CL23236003,33.9696723,-118.3759963
CROC24073287,33.9702371,-118.3838353
CRSB23095383,33.9406175,-118.2610561
CRDW24092553,33.9558002,-118.2709143
CRRW23187314,36.778261,-119.4179324
CRSB22202604,33.9657146,-118.3946701
CRDW24122659,33.98691580000001,-118.3015632
CRSR22231989,34.0920283,-118.2359279
CL24383431,34.0917118,-118.3008279
CROC22231946,33.9406175,-118.2610561
CRIN22256814,33.9663003,-118.2953472
CL22212937,34.1222011,-118.359806
CL23238703,34.0494811,-118.3002309
CL23334607,33.9361848,-118.3048839
CRDW22063179,33.9650779,-118.2693546
CL22187909,34.1072322,-118.4462256
CRBB23094461,33.9989018,-118.1509056
CL23243019,34.0025659,-118.446012
CRSB23162569,33.9700565,-118.2945254
CRPW23107791,33.9331326,-118.2883666
ML81915522,37.2671459,-121.8847889
ML81975165,37.2872701,-121.99247
CL24401297,33.965574,-118.409516
ML81930142,37.3457043,-121.8229468
CRSR23009559,34.0220933,-118.307022
CRNP23106444,34.0705304,-118.3819605
ML81955910,37.3620249,-121.814045
CL23229317,33.9515852,-118.3071318
CL24352811,34.0510474,-118.4222994
ML81964029,37.2712331,-121.887173
CL22211061,34.0941185,-118.2721202
CL23238612,34.0373767,-118.4119366
CRSR23012988,34.0705304,-118.3819605
CRSR24046151,34.1800887,-118.416343
CRMC23221780,34.0542454,-118.3539503
CL23309937,34.0941734,-118.390426
CL23249831,34.100511,-118.3591383
CL23330785,34.1168734,-118.2874078
CL22150765,34.0518003,-118.3220083
CRRS22214833,33.9063796,-118.2699751
CL23232261,34.1013976,-118.3751186
CL23230707,34.0637908,-118.4763987
CRDW24041039,33.9688269,-118.3110028
CL23237907,34.1013976,-118.3751186
CL23231501,34.0069183,-118.4499238
41039505,37.7181376,-122.4511575
CL23330579,34.0636272,-118.4396807
SF423913061,37.728798,-122.3822023
CL23233848,34.0812524,-118.3687808
SF422710445,37.7655265,-122.4575383
CL23315433,34.0363075,-118.4620117
CL23250085,34.1141699,-118.3435618
CL24383911,34.0539922,-118.3676794
SF423748644,37.7780157,-122.505869
SF423756660,37.7340272,-122.4764522
SF423727373,37.7560864,-122.440283
CL23307587,34.0369925,-118.4172755
SF423911055,37.77999519999999,-122.4580913
CREV23143696,36.778261,-119.4179324
CREV24138001,36.778261,-119.4179324
SF423919367,37.7411853,-122.4790504
CREV23213748,36.778261,-119.4179324
CREV23031373,36.778261,-119.4179324
CRRW23113936,36.778261,-119.4179324
CREV24079400,36.778261,-119.4179324
CREV24026067,36.778261,-119.4179324
ME224092950,38.48193080000001,-121.4727462
CREV23113266,36.778261,-119.4179324
ME223111842,38.4824648,-121.4721075
CREV23140612,34.2483396,-117.1892078
ME223019867,38.48391609999999,-121.4741686
ME224079470,38.4848229,-121.4735238
CRIV23007784,34.2428345,-117.1855501
ME223007361,38.4882008,-121.4776546
CREV23100275,34.2530174,-117.1748206
CRRW24081822,34.2700959,-117.1837492
ME223098753,38.5283248,-121.4522464
ME224041660,38.4909359,-121.5358161
ME224072489,38.4680061,-121.3737954
CL23266671,34.1287514,-118.1906726
CRDW23199620,33.9958962,-118.3189896
CRFR23040390,38.46966889999999,-121.3221106
CL23324431,33.9230437,-118.2559216
CRSR23214885,38.6262105,-121.4627947
CL24397161,34.0492682,-118.4207013
CL22221903,33.968246,-118.390813
ME223016511,38.4683792,-121.3754228
CL23228443,33.9804413,-118.3079523
CRDW23111223,33.9843614,-118.3223371
CRRS24034761,33.957684,-118.2487959
CROC23026928,34.0282189,-118.3371361
CL23325799,34.0625096,-118.2585664
CRPW24042619,33.9843525,-118.3218646
ME224014794,38.4728164,-121.3236697
CL24377893,33.9230437,-118.2559216
CL23269633,34.0391858,-118.4489621
CL24378205,34.1233723,-118.2083095
CL23253663,34.0779888,-118.2811431
CROC23104074,34.0725162,-118.1745957
CRSB23032742,33.9958962,-118.3189896
CRDW24002777,33.9989832,-118.2761644
CRRS23024593,33.9843614,-118.3223371
CL23235505,33.9941329,-118.2573881
CL23301665,34.1085965,-118.2085137
CRPW23147182,33.9989832,-118.2761644
CROC23157782,33.9548789,-118.3012702
CRDW23231150,33.9489367,-118.283061
CL23253943,33.9223117,-118.26425
CL23258072,33.9939308,-118.3499033
CRPW23108314,34.0046016,-118.2511905
CRIG23009634,34.0043973,-118.310087
CL23322279,33.9495993,-118.3137579
CRGD22156076,33.9495993,-118.3137579
CL24389351,34.0901153,-118.2689592
CRCV22223087,34.0838301,-118.2815362
CL23301649,34.1095073,-118.4460222
CL23260643,34.0476955,-118.3646863
CL22223949,34.0025141,-118.4391052
CRPW23127009,33.9332474,-118.2664814
CRSR24074584,34.1908367,-118.4271837
CRPW24144031,34.1120305,-118.2520185
CRDW24049442,33.9811936,-118.274799
CRP1-12867,34.122972,-118.2099496
ML81910707,37.7310613,-122.4013939
CROC23001974,34.0725569,-118.2690844
CL23247109,34.108815,-118.4486313
CROC24135944,33.9401786,-118.2361697
CRDW23067237,33.9961912,-118.2940696
ML81918038,37.2853426,-121.8564057
41038727,37.295898,-121.755755
CRPW24049475,34.0778083,-118.1696276
CL22217871,33.9178688,-118.266266
CL23299173,34.0122952,-118.3064893
CRSR23130283,33.9811936,-118.274799
CL23295581,34.0205092,-118.2695898
SF423900425,37.7495062,-122.480214
SF423908275,37.7311607,-122.4540442
SF423718580,37.7117623,-122.4496679
CL22216791,34.0262433,-118.3185012
SF424035204,37.7773213,-122.4407442
ML81945443,37.7654134,-122.4230311
SF423730742,37.7612,-122.4474
CRCV23142935,34.0189869,-118.1564569
SF423922804,37.7103987,-122.4056744
SF424007327,37.7507616,-122.4660324
CRSB23209190,33.9904726,-118.259869
SF424015989,37.7136191,-122.433703
CL24393375,34.0256747,-118.4432338
CRBB23017588,33.9500047,-118.3150321
CL24414451,34.0770097,-118.2720588
CL24352513,34.055116,-118.180509
SF424028336,37.7172308,-122.4079249
CRSB24153802,33.9904726,-118.259869
ML81923419,37.285525,-121.856336
ML81927119,37.2853714,-121.8557539
ML81922632,37.2853618,-121.8564741
CRP1-17988,34.1239605,-118.1695972
CRP1-15098,34.1239605,-118.1695972
CL24371273,34.0779406,-118.3263098
CL22214381,34.0365922,-118.4226912
CL22205937,34.0375335,-118.3319961
CL23262431,34.0531882,-118.4265474
CROC24075321,33.9171888,-118.3027093
CL23286407,34.0498501,-118.3702447
CL23256815,34.0083098,-118.4488539
CRSW23086416,33.9919803,-118.3441543
CL23325495,33.9716368,-118.3118917
CRPW23025606,34.0206277,-118.3409928
CRDW22251995,34.0169872,-118.2633493
CRSR23220776,34.217026,-118.5072865
CL23304617,34.1234258,-118.2659326
CL23320845,33.9069061,-118.2736418
CRP1-16769,34.1314804,-118.1993693
CL24425589,34.0527148,-118.3296473
CRSR23085730,34.2027524,-118.4954207
CL23290011,34.1157439,-118.4434829
CL24386917,34.0154842,-118.4375803
CL23259139,34.0528169,-118.426396
CL23318956,33.9657381,-118.3174352
CL23246468,34.0626762,-118.4338681
CL22163951,36.778261,-119.4179324
CL23312012,34.0547977,-118.3673961
CROC22239151,34.0957547,-118.206016
CL24371288,34.0356798,-118.3157429
CL23256739,34.0616089,-118.4893387
ME223056751,38.5138128,-121.4533706
CL23239571,34.1151384,-118.2977483
CL23270775,33.9712305,-118.3979796
CL23257481,34.0732031,-118.3682427
ME223090923,38.55209610000001,-121.4921111
ME223114361,38.5151602,-121.4543247
CL22168739,34.0684036,-118.3328548
CL22219063,34.0993114,-118.3823615
ME223064159,38.5131736,-121.4507848
CL23242141,34.0689112,-118.4896735
CL23237725,34.100453,-118.4537663
CL23249027,34.0719531,-118.4978078
CL24374905,34.0048827,-118.4402672
CL23294926,34.0131346,-118.3521987
CL22178101,34.0989601,-118.3722633
CL23285169,34.0640372,-118.4909215
CRP1-12373,34.143866,-118.1995204
ME223023675,38.5658201,-121.4587176
CL23234579,34.089725,-118.4533856
ME224021910,38.5149182,-121.4521426
CL23332181,34.1066089,-118.3875166
ME223113016,38.6597276,-121.4480632
ME222146892,38.5907262,-121.3942951
ME223076589,38.5877647,-121.3917942
ME223043213,38.5872173,-121.3842128
ME223112485,38.5854366,-121.3863984
ME223100255,38.5931767,-121.3929633
ME224062581,38.5895717,-121.3863763
41048939,38.460533,-121.4324608
ME223116430,38.5898408,-121.3924787
CRNDP2309397,33.5995352,-117.1631551
ME224024491,38.5864211,-121.3895741
ME223014849,38.5864211,-121.3895741
ME222149495,38.586157,-121.3884069
CRIV24107912,33.59914,-117.166825
CRSW24000253,34.0549076,-118.242643
CRIV23143411,33.6003272,-117.1663875
CRPW24028183,34.1592881,-118.5011688
CRSW24074317,33.5998537,-117.1644108
CRPW23173017,33.9297179,-118.2698429
CREV23132027,33.622197,-117.082892
SF423911370,37.7867552,-122.4224907
SF423753429,37.7715637,-122.4188013
CREV23090318,34.0549076,-118.242643
CL23290273,34.052121,-118.3426831
CREV23048532,33.623048,-117.082034
SF423926490,37.7752927,-122.4131926
CL23299831,33.9807433,-118.3229932
CREV23012960,33.62248,-117.082039
CRSW22251536,33.5619013,-117.1589644
CRCV22236752,33.9799055,-118.2713547
SF424002696,37.7860625,-122.3921764
CREV23205132,33.621884,-117.083411
SF423747273,37.7715637,-122.4188013
CL23280479,34.1283263,-118.186397
SF423923174,37.7749295,-122.4194155
SF424006620,37.7867552,-122.4224907
SF423721826,37.7715637,-122.4188013
CREV23099572,33.62177399999999,-117.082786
SF424016814,37.7903248,-122.3915355
CL24364525,34.0967408,-118.3065383
CL23250069,34.09065450000001,-118.2469935
SF423900433,37.7905431,-122.3959219
CL23279099,34.1039143,-118.2473516
CRP1-13499,34.1255013,-118.2054324
CRSB23162390,33.9245676,-118.2468398
CRIG23117827,33.9268581,-118.3105003
CRDW23121463,33.9550594,-118.2728848
CRSR24159804,33.93034859999999,-118.2380847
CL23257515,33.9774146,-118.3199704
CRSB24006432,33.986069,-118.3567664
